timestamp,frame,mode,centroid_yaw,action_zone_yaw,raw_delta_deg,target_yaw,bias_applied_deg,confidence,action_intensity_score,breakaway_score,switch_of_play_score,lead_deg,recommended_fov,subgroup_size,subgroup_track_ids,comp_sub_speed_norm,comp_coherence,comp_main_speed_norm,comp_sep_growth,comp_size_penalty,reason_code,reason
19.52,585,wide,-21.45,3.43,24.88,-21.45,0.0,0.864,0.934,0.887,0.296,-2.68,91.7,2,11;12,0.082,0.983,0.042,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
20.02,600,wide,-27.3,1.55,28.85,-27.3,0.0,0.825,0.94,0.946,0.397,-2.94,92.1,2,11;12,0.065,0.873,0.086,1.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
20.521,615,wide,-20.84,1.15,21.99,-20.84,0.0,0.855,0.935,0.896,0.203,1.87,91.7,2,11;12,0.212,0.946,0.094,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
21.021,630,wide,-20.35,1.46,21.81,-20.35,0.0,0.789,0.925,0.751,0.033,1.3,90.6,2,11;12,0.224,0.021,0.045,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
21.521,645,wide,-19.64,1.61,21.25,-19.64,0.0,0.809,0.941,0.865,0.502,-0.12,92.5,2,11;12,0.036,0.88,0.059,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
22.022,660,wide,-20.23,0.4,20.63,-20.23,0.0,0.831,0.93,0.741,0.141,-2.98,90.6,2,11;12,0.073,0.195,0.104,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
22.523,675,wide,-20.23,1.09,21.32,-20.23,0.0,0.826,0.944,0.809,0.585,3.37,93.8,2,11;12,0.224,0.133,0.069,0.226,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
23.023,690,wide,-17.18,3.06,20.24,-17.18,0.0,0.901,0.936,0.906,0.057,3.48,91.8,2,11;12,0.278,0.999,0.149,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
23.524,705,wide,-16.46,3.75,20.21,-16.46,0.0,0.817,0.939,0.877,0.313,-1.34,91.6,2,11;12,0.161,0.843,0.089,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
24.024,720,wide,-14.79,3.74,18.53,-14.79,0.0,0.844,0.931,0.786,0.099,-1.07,90.9,2,11;12,0.092,0.397,0.132,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
24.524,735,wide,-13.32,3.65,16.97,-13.32,0.0,0.805,0.932,0.786,0.109,-0.17,90.9,2,11;12,0.107,0.373,0.122,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
25.025,750,wide,2.77,2.97,0.2,2.77,0.0,0.84,0.936,0.809,0.254,-1.42,91.1,2,2;10,0.146,0.437,0.107,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
25.526,765,wide,17.94,3.14,-14.8,17.94,0.0,0.865,0.928,0.887,0.054,1.4,91.7,2,2;10,0.034,0.951,0.108,0.163,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
26.026,780,wide,3.27,2.76,-0.51,3.27,0.0,0.821,0.925,0.0,0.451,-1.12,91.8,0,,0.0,0.0,0.122,0.0,0.0,wide_mode_zero_influence,wide mode: Action Zone suppressed (zero influence by design)
26.527,795,follow,3.84,5.22,1.38,10.12,6.28,0.83,0.932,0.0,0.757,6.18,96.4,0,,0.0,0.0,0.062,0.0,0.0,active,switch of play: score 0.76; bias +6.3deg applied
27.027,810,follow,-10.18,5.48,15.66,0.72,10.9,0.866,0.929,0.0,0.628,-3.07,94.4,0,,0.0,0.0,0.08,0.0,0.0,active,switch of play: score 0.63; bias +10.9deg applied
27.527,825,follow,-9.16,5.94,15.1,4.35,13.51,0.858,0.919,0.0,0.308,0.65,89.6,0,,0.0,0.0,0.1,0.0,0.0,active,"steady-state: zone 5.9 vs centroid -9.2, bias +13.5deg (conf 0.86)"
28.028,840,follow,-17.58,5.02,22.6,-2.58,15.0,0.798,0.931,0.821,0.159,-2.77,91.2,2,3;6,0.223,0.386,0.067,0.0,0.0,active,"breakaway: subgroup(n=2, breakaway=0.82) vs main cluster; bias +15.0deg applied"
28.529,855,follow,14.0,5.6,-8.4,9.09,-4.91,0.855,0.924,0.885,0.21,2.67,91.6,2,2;16,0.131,0.939,0.083,0.0,0.0,active,"breakaway: subgroup(n=2, breakaway=0.89) vs main cluster; bias -4.9deg applied"
29.029,870,follow,8.35,5.97,-2.38,6.44,-1.91,0.803,0.925,0.0,0.451,0.0,91.8,0,,0.0,0.0,0.113,0.0,0.0,active,"steady-state: zone 6.0 vs centroid 8.3, bias -1.9deg (conf 0.80)"
29.53,885,follow,9.89,6.1,-3.79,6.51,-3.38,0.834,0.929,0.866,0.099,-0.26,91.5,4,3;6;11;12,0.136,0.764,0.057,0.0,0.0,active,"breakaway: subgroup(n=4, breakaway=0.87) vs main cluster; bias -3.4deg applied"
